id,problem,benchmark,gt_formula,feature_names,destroi_compatible,destroi_ops_overlap,n_operators,nestedness,ops,has_trig,has_exp_log,has_sqrt,has_div,has_pow,n_features,complexity,nest_category
72,feynman_I_30_3,feynman,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,"Int_0,theta,n",1,"mul,sin",9,1,"div,mul,pow,sin",1,0,0,1,1,3,complex,shallow
73,feynman_I_30_5,feynman,arcsin(lambd/(n*d)),"lambd,d,n",0,mul,3,2,"arcsin,div,mul",0,0,0,1,0,3,simple,shallow
74,feynman_I_32_17,feynman,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),"epsilon,c,Ef,r,omega,omega_0",1,mul,17,2,"div,mul,pow,sub",0,0,0,1,1,6,complex,shallow
75,feynman_I_32_5,feynman,q**2*a**2/(6*pi*epsilon*c**3),"q,a,epsilon,c",1,mul,8,1,"div,mul,pow",0,0,0,1,1,4,medium,shallow
76,feynman_I_34_1,feynman,omega_0/(1-v/c),"c,v,omega_0",1,,3,1,"div,sub",0,0,0,1,0,3,simple,shallow
77,feynman_I_34_14,feynman,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,"c,v,omega_0",1,"add,mul,sqrt",9,1,"add,div,mul,pow,sqrt,sub",0,0,1,1,1,3,complex,shallow
78,feynman_I_34_27,feynman,(h/(2*pi))*omega,"omega,h",1,mul,3,2,"div,mul",0,0,0,1,0,2,simple,shallow
79,feynman_I_34_8,feynman,q*v*B/p,"q,v,B,p",1,mul,3,0,"div,mul",0,0,0,1,0,4,simple,shallow
80,feynman_I_37_4,feynman,I1+I2+2*sqrt(I1*I2)*cos(delta),"I1,I2,delta",1,"add,mul,sqrt",7,1,"add,cos,mul,sqrt",1,0,1,0,0,3,medium,shallow
81,feynman_I_38_12,feynman,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),"m,q,h,epsilon",1,mul,9,2,"div,mul,pow",0,0,0,1,1,4,complex,shallow
82,feynman_I_39_1,feynman,3/2*pr*V,"pr,V",1,mul,3,0,"div,mul",0,0,0,1,0,2,simple,shallow
83,feynman_I_39_11,feynman,1/(gamma-1)*pr*V,"gamma,pr,V",1,mul,3,1,"div,mul",0,0,0,1,0,3,simple,shallow
84,feynman_I_39_22,feynman,n*kb*T/V,"n,T,V,kb",1,mul,3,0,"div,mul",0,0,0,1,0,4,simple,shallow
85,feynman_I_40_1,feynman,n_0*exp(-m*g*x/(kb*T)),"n_0,m,x,T,g,kb",1,mul,7,2,"div,exp,mul,sub",0,1,0,1,0,6,medium,shallow
86,feynman_I_41_16,feynman,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),"omega,T,h,kb,c",1,mul,15,5,"div,exp,mul,pow",0,1,0,1,1,5,complex,deep
87,feynman_I_43_16,feynman,mu_drift*q*Volt/d,"mu_drift,q,Volt,d",1,mul,3,0,"div,mul",0,0,0,1,0,4,simple,shallow
88,feynman_I_43_31,feynman,mob*kb*T,"mob,T,kb",1,mul,2,0,mul,0,0,0,0,0,3,simple,shallow
89,feynman_I_43_43,feynman,1/(gamma-1)*kb*v/A,"gamma,kb,A,v",1,mul,4,1,"div,mul",0,0,0,1,0,4,medium,shallow
90,feynman_I_44_4,feynman,n*kb*T*ln(V2/V1),"n,kb,T,V1,V2",1,mul,4,1,"div,mul",0,0,0,1,0,5,medium,shallow
91,feynman_I_47_23,feynman,sqrt(gamma*pr/rho),"gamma,pr,rho",1,"mul,sqrt",3,1,"div,mul,sqrt",0,0,1,1,0,3,simple,shallow
92,feynman_I_48_2,feynman,m*c**2/sqrt(1-v**2/c**2),"m,v,c",1,"mul,sqrt",8,1,"div,mul,pow,sqrt,sub",0,0,1,1,1,3,medium,shallow
93,feynman_I_50_26,feynman,x1*(cos(omega*t)+alpha*cos(omega*t)**2),"x1,omega,t,alpha",1,"add,mul",8,2,"add,cos,mul,pow",1,0,0,0,1,4,medium,shallow
94,feynman_I_6_2,feynman,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),"sigma,theta",1,"mul,sqrt",9,2,"div,exp,mul,pow,sqrt,sub",0,1,1,1,1,2,complex,shallow
95,feynman_I_6_2a,feynman,exp(-theta**2/2)/sqrt(2*pi),theta,1,"mul,sqrt",7,1,"div,exp,mul,pow,sqrt,sub",0,1,1,1,1,1,medium,shallow
96,feynman_I_6_2b,feynman,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),"sigma,theta,theta1",1,"mul,sqrt",10,3,"div,exp,mul,pow,sqrt,sub",0,1,1,1,1,3,complex,medium
97,feynman_I_8_14,feynman,sqrt((x2-x1)**2+(y2-y1)**2),"x1,x2,y1,y2",1,"add,sqrt",6,2,"add,pow,sqrt,sub",0,0,1,0,1,4,medium,shallow
98,feynman_I_9_18,feynman,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),"m1,m2,G,x1,x2,y1,y2,z1,z2",1,"add,mul",11,2,"add,div,mul,pow,sub",0,0,0,1,1,9,complex,shallow
99,feynman_test_1,feynman,(Z_1*Z_2*alpha*hbar*c/(4*E_n*sin(theta/2)**2))**2,"Z_1,Z_2,alpha,hbar,c,E_n,theta",1,"mul,sin",11,3,"div,mul,pow,sin",1,0,0,1,1,7,complex,medium
100,feynman_test_10,feynman,arccos((cos(theta2)-v/c)/(1-v/c*cos(theta2))),"c,v,theta2",0,mul,9,3,"arccos,cos,div,mul,sub",1,0,0,1,0,3,complex,medium
101,feynman_test_11,feynman,I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2,"I_0,alpha,delta,n",1,"mul,sin",13,3,"div,mul,pow,sin",1,0,0,1,1,4,complex,medium
102,feynman_test_12,feynman,q/(4*pi*epsilon*y**2)*(4*pi*epsilon*Volt*d-q*d*y**3/(y**2-d**2)**2),"q,y,Volt,d,epsilon",1,mul,19,2,"div,mul,pow,sub",0,0,0,1,1,5,complex,shallow
103,feynman_test_13,feynman,1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha)),"q,r,d,alpha,epsilon",1,"add,mul,sqrt",13,2,"add,cos,div,mul,pow,sqrt",1,0,1,1,1,5,complex,shallow
104,feynman_test_14,feynman,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),"Ef,theta,r,d,alpha",1,"add,mul",11,2,"add,cos,div,mul,pow,sub",1,0,0,1,1,5,complex,shallow
105,feynman_test_15,feynman,sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta)),"c,v,omega,theta",1,"add,mul,sqrt",11,2,"add,cos,div,mul,pow,sqrt,sub",1,0,1,1,1,4,complex,shallow
106,feynman_test_16,feynman,sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt,"m,c,p,q,A_vec,Volt",1,"add,mul,sqrt",12,2,"add,mul,pow,sqrt,sub",0,0,1,0,1,6,complex,shallow
107,feynman_test_17,feynman,1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y)),"m,omega,p,y,x,alpha",1,"add,mul",14,2,"add,div,mul,pow",0,0,0,1,1,6,complex,shallow
108,feynman_test_18,feynman,3/(8*pi*G)*(c**2*k_f/r**2+H_G**2),"G,k_f,r,H_G,c",1,"add,mul",10,1,"add,div,mul,pow",0,0,0,1,1,5,complex,shallow
109,feynman_test_19,feynman,-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha)),"G,k_f,r,H_G,alpha,c",1,"add,mul",14,2,"add,div,mul,pow",0,0,0,1,1,6,complex,shallow
110,feynman_test_2,feynman,m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2)),"m,k_G,L,E_n,theta1,theta2",1,"add,mul,sqrt",16,3,"add,cos,div,mul,pow,sqrt,sub",1,0,1,1,1,6,complex,medium
111,feynman_test_20,feynman,1/(4*pi)*alpha**2*h**2/(m**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(beta)**2),"omega,omega_0,alpha,h,m,c,beta",1,"add,mul,sin",20,2,"add,div,mul,pow,sin,sub",1,0,0,1,1,7,complex,shallow
112,feynman_test_3,feynman,d*(1-alpha**2)/(1+alpha*cos(theta1-theta2)),"d,alpha,theta1,theta2",1,"add,mul",8,2,"add,cos,div,mul,pow,sub",1,0,0,1,1,4,medium,shallow
113,feynman_test_4,feynman,sqrt(2/m*(E_n-U-L**2/(2*m*r**2))),"m,E_n,U,L,r",1,"mul,sqrt",10,3,"div,mul,pow,sqrt,sub",0,0,1,1,1,5,complex,medium
114,feynman_test_5,feynman,2*pi*d**(3/2)/sqrt(G*(m1+m2)),"d,G,m1,m2",1,"add,mul,sqrt",8,2,"add,div,mul,pow,sqrt",0,0,1,1,1,4,medium,shallow
115,feynman_test_6,feynman,sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*q**2)**2)),"epsilon,L,m,Z_1,Z_2,q,E_n",1,"add,mul,sqrt",13,3,"add,div,mul,pow,sqrt",0,0,1,1,1,7,complex,medium
116,feynman_test_7,feynman,sqrt(8*pi*G*rho/3-alpha*c**2/d**2),"G,rho,alpha,c,d",1,"mul,sqrt",10,1,"div,mul,pow,sqrt,sub",0,0,1,1,1,5,complex,shallow
117,feynman_test_8,feynman,E_n/(1+E_n/(m*c**2)*(1-cos(theta))),"E_n,m,c,theta",1,"add,mul",8,3,"add,cos,div,mul,pow,sub",1,0,0,1,1,4,medium,medium
118,feynman_test_9,feynman,-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5,"G,c,m1,m2,r",1,"add,mul",12,1,"add,div,mul,pow",0,0,0,1,1,5,complex,shallow
119,strogatz_bacres1,strogatz,20 - x - (x * y)/(1+0.5 * x**2),"x,y",1,"add,mul",7,1,"add,div,mul,pow,sub",0,0,0,1,1,2,medium,shallow
120,strogatz_bacres2,strogatz,10 - (x * y)/(1+0.5 * x**2),"x,y",1,"add,mul",6,1,"add,div,mul,pow,sub",0,0,0,1,1,2,medium,shallow
121,strogatz_barmag1,strogatz,0.5 * sin(x - y) - sin(x),"x,y",1,"mul,sin",5,1,"mul,sin,sub",1,0,0,0,0,2,medium,shallow
122,strogatz_barmag2,strogatz,0.5 * sin(y - x) - sin(y),"x,y",1,"mul,sin",5,1,"mul,sin,sub",1,0,0,0,0,2,medium,shallow
123,strogatz_glider1,strogatz,-0.05 * x**2 - sin(y),"x,y",1,"mul,sin",4,1,"mul,pow,sin,sub",1,0,0,0,1,2,medium,shallow
124,strogatz_glider2,strogatz,x - cos(y)/x,"x,y",1,,3,1,"cos,div,sub",1,0,0,1,0,2,simple,shallow
125,strogatz_lv1,strogatz,3  * x - 2  * x * y - x**2,"x,y",1,mul,6,0,"mul,pow,sub",0,0,0,0,1,2,medium,shallow
126,strogatz_lv2,strogatz,2 * y - x * y - y**2,"x,y",1,mul,5,0,"mul,pow,sub",0,0,0,0,1,2,medium,shallow
127,strogatz_predprey1,strogatz,x  * ( 4 - x - (y)/(1+x) ),"x,y",1,"add,mul",5,2,"add,div,mul,sub",0,0,0,1,0,2,medium,shallow
128,strogatz_predprey2,strogatz,y * ( (x)/(1+x) - 0.075 * y ),"x,y",1,"add,mul",5,2,"add,div,mul,sub",0,0,0,1,0,2,medium,shallow
129,strogatz_shearflow1,strogatz,cot(y) * cos(x),"x,y",0,mul,3,1,"cos,cot,mul",1,0,0,0,0,2,simple,shallow
130,strogatz_shearflow2,strogatz,(cos(y)**2 + 0.1 *  sin(y)**2) * sin(x),"x,y",1,"add,mul,sin",8,2,"add,cos,mul,pow,sin",1,0,0,0,1,2,medium,shallow
131,strogatz_vdp1,strogatz,10 *  (y - (1)/(3) * (x**3-x)),"x,y",1,mul,6,2,"div,mul,pow,sub",0,0,0,1,1,2,medium,shallow
132,strogatz_vdp2,strogatz,-(1)/(10) * x,"x,y",1,mul,3,1,"div,mul,sub",0,0,0,1,0,2,simple,shallow
